"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:24,83","00:53,94","01:56,20","04:05,16","08:23,85","16:07,25","00:31,06","01:07,57","02:25,20","00:26,16","00:58,20","02:08,90","00:28,19","01:00,50","02:09,66","02:11,31","04:38,41","20"
"19","00:25,22","00:54,78","01:57,99","04:08,95","08:31,64","16:22,21","00:31,54","01:08,62","02:27,44","00:26,57","00:59,10","02:10,90","00:28,62","01:01,43","02:11,66","02:13,34","04:42,71","19"
"18","00:25,60","00:55,61","01:59,79","04:12,74","08:39,43","16:37,17","00:32,02","01:09,66","02:29,69","00:26,97","01:00,00","02:12,89","00:29,06","01:02,37","02:13,67","02:15,37","04:47,02","18"
"17","00:25,98","00:56,44","02:01,59","04:16,53","08:47,22","16:52,13","00:32,50","01:10,70","02:31,94","00:27,37","01:00,90","02:14,88","00:29,50","01:03,31","02:15,68","02:17,40","04:51,33","17"
"16","00:26,37","00:57,28","02:03,38","04:20,32","08:55,01","17:07,09","00:32,98","01:11,75","02:34,18","00:27,78","01:01,80","02:16,88","00:29,93","01:04,24","02:17,68","02:19,43","04:55,63","16"
"15","00:26,75","00:58,11","02:05,18","04:24,11","09:02,80","17:22,04","00:33,46","01:12,79","02:36,43","00:28,18","01:02,70","02:18,87","00:30,37","01:05,18","02:19,69","02:21,46","04:59,94","15"
"14","00:27,14","00:58,95","02:06,98","04:27,90","09:10,60","17:37,00","00:33,94","01:13,84","02:38,67","00:28,59","01:03,60","02:20,86","00:30,80","01:06,11","02:21,69","02:23,49","05:04,24","14"
"13","00:27,52","00:59,78","02:08,77","04:31,70","09:18,39","17:51,96","00:34,42","01:14,88","02:40,92","00:28,99","01:04,50","02:22,86","00:31,24","01:07,05","02:23,70","02:25,52","05:08,55","13"
"12","00:27,90","01:00,61","02:10,57","04:35,49","09:26,18","18:06,92","00:34,90","01:15,93","02:43,16","00:29,40","01:05,40","02:24,85","00:31,68","01:07,98","02:25,70","02:27,55","05:12,85","12"
"11","00:28,29","01:01,45","02:12,37","04:39,28","09:33,97","18:21,87","00:35,38","01:16,97","02:45,41","00:29,80","01:06,30","02:26,84","00:32,11","01:08,92","02:27,71","02:29,58","05:17,16","11"
"10","00:28,67","01:02,28","02:14,16","04:43,07","09:41,76","18:36,83","00:35,86","01:18,02","02:47,65","00:30,21","01:07,20","02:28,84","00:32,55","01:09,85","02:29,71","02:31,61","05:21,46","10"
"9","00:29,06","01:03,12","02:15,96","04:46,86","09:49,55","18:51,79","00:36,34","01:19,06","02:49,90","00:30,61","01:08,10","02:30,83","00:32,98","01:10,79","02:31,72","02:33,64","05:25,77","9"
"8","00:29,44","01:03,95","02:17,76","04:50,65","09:57,34","19:06,75","00:36,82","01:20,11","02:52,14","00:31,02","01:09,00","02:32,82","00:33,42","01:11,73","02:33,72","02:35,68","05:30,07","8"
"7","00:29,82","01:04,79","02:19,56","04:54,44","10:05,14","19:21,70","00:37,30","01:21,15","02:54,39","00:31,42","01:09,90","02:34,82","00:33,85","01:12,66","02:35,73","02:37,71","05:34,38","7"
"6","00:30,21","01:05,62","02:21,35","04:58,23","10:12,93","19:36,66","00:37,78","01:22,20","02:56,63","00:31,82","01:10,80","02:36,81","00:34,29","01:13,60","02:37,73","02:39,74","05:38,68","6"
"5","00:30,59","01:06,45","02:23,15","05:02,02","10:20,72","19:51,62","00:38,26","01:23,24","02:58,88","00:32,23","01:11,70","02:38,80","00:34,73","01:14,53","02:39,74","02:41,77","05:42,99","5"
"4","00:30,98","01:07,29","02:24,95","05:05,82","10:28,51","20:06,58","00:38,74","01:24,29","03:01,12","00:32,63","01:12,60","02:40,80","00:35,16","01:15,47","02:41,74","02:43,80","05:47,29","4"
"3","00:31,36","01:08,12","02:26,74","05:09,61","10:36,30","20:21,53","00:39,22","01:25,33","03:03,37","00:33,04","01:13,50","02:42,79","00:35,60","01:16,40","02:43,75","02:45,83","05:51,60","3"
"2","00:31,74","01:08,96","02:28,54","05:13,40","10:44,09","20:36,49","00:39,70","01:26,38","03:05,62","00:33,44","01:14,40","02:44,78","00:36,03","01:17,34","02:45,75","02:47,86","05:55,90","2"
"1","00:32,13","01:09,79","02:30,34","05:17,19","10:51,88","20:51,45","00:40,19","01:27,42","03:07,86","00:33,85","01:15,30","02:46,78","00:36,47","01:18,27","02:47,76","02:49,89","06:00,21","1"
